State,Year,Total Approvals,Total Applications,Approval Rate
NJ,2023,6000563,11483889,52.25201149192578
NJ,2022,8823472,16099307,54.806532976854214
NJ,2021,15697898,26227364,59.853128968660364
NJ,2020,15298091,25699043,59.527862574493525
NM,2023,6000563,11483889,52.25201149192578
NM,2022,8823472,16099307,54.806532976854214
NM,2021,15697898,26227364,59.853128968660364
NM,2020,15298091,25699043,59.527862574493525
NY,2023,6000563,11483889,52.25201149192578
NY,2022,8823472,16099307,54.806532976854214
NY,2021,15697898,26227364,59.853128968660364
NY,2020,15298091,25699043,59.527862574493525
NC,2023,6000563,11483889,52.25201149192578
NC,2022,8823472,16099307,54.806532976854214
NC,2021,15697898,26227364,59.853128968660364
NC,2020,15298091,25699043,59.527862574493525
ND,2023,6000563,11483889,52.25201149192578
ND,2022,8823472,16099307,54.806532976854214
ND,2021,15697898,26227364,59.853128968660364
ND,2020,15298091,25699043,59.527862574493525
OH,2023,6000563,11483889,52.25201149192578
OH,2022,8823472,16099307,54.806532976854214
OH,2021,15697898,26227364,59.853128968660364
OH,2020,15298091,25699043,59.527862574493525
OK,2023,6000563,11483889,52.25201149192578
OK,2022,8823472,16099307,54.806532976854214
OK,2021,15697898,26227364,59.853128968660364
OK,2020,15298091,25699043,59.527862574493525
OR,2023,6000563,11483889,52.25201149192578
OR,2022,8823472,16099307,54.806532976854214
OR,2021,15697898,26227364,59.853128968660364
OR,2020,15298091,25699043,59.527862574493525
PA,2023,6000563,11483889,52.25201149192578
PA,2022,8823472,16099307,54.806532976854214
PA,2021,15697898,26227364,59.853128968660364
PA,2020,15298091,25699043,59.527862574493525
RI,2023,6000563,11483889,52.25201149192578
RI,2022,8823472,16099307,54.806532976854214
RI,2021,15697898,26227364,59.853128968660364
RI,2020,15298091,25699043,59.527862574493525
SC,2023,6000563,11483889,52.25201149192578
SC,2022,8823472,16099307,54.806532976854214
SC,2021,15697898,26227364,59.853128968660364
SC,2020,15298091,25699043,59.527862574493525
SD,2023,6000563,11483889,52.25201149192578
SD,2022,8823472,16099307,54.806532976854214
SD,2021,15697898,26227364,59.853128968660364
SD,2020,15298091,25699043,59.527862574493525
TN,2023,6000563,11483889,52.25201149192578
TN,2022,8823472,16099307,54.806532976854214
TN,2021,15697898,26227364,59.853128968660364
TN,2020,15298091,25699043,59.527862574493525
TX,2023,6000563,11483889,52.25201149192578
TX,2022,8823472,16099307,54.806532976854214
TX,2021,15697898,26227364,59.853128968660364
TX,2020,15298091,25699043,59.527862574493525
UT,2023,6000563,11483889,52.25201149192578
UT,2022,8823472,16099307,54.806532976854214
UT,2021,15697898,26227364,59.853128968660364
UT,2020,15298091,25699043,59.527862574493525
VT,2023,6000563,11483889,52.25201149192578
VT,2022,8823472,16099307,54.806532976854214
VT,2021,15697898,26227364,59.853128968660364
VT,2020,15298091,25699043,59.527862574493525
VA,2023,6000563,11483889,52.25201149192578
VA,2022,8823472,16099307,54.806532976854214
VA,2021,15697898,26227364,59.853128968660364
VA,2020,15298091,25699043,59.527862574493525
WA,2023,6000563,11483889,52.25201149192578
WA,2022,8823472,16099307,54.806532976854214
WA,2021,15697898,26227364,59.853128968660364
WA,2020,15298091,25699043,59.527862574493525
WV,2023,6000563,11483889,52.25201149192578
WV,2022,8823472,16099307,54.806532976854214
WV,2021,15697898,26227364,59.853128968660364
WV,2020,15298091,25699043,59.527862574493525
WI,2023,6000563,11483889,52.25201149192578
WI,2022,8823472,16099307,54.806532976854214
WI,2021,15697898,26227364,59.853128968660364
WI,2020,15298091,25699043,59.527862574493525
WY,2023,6000563,11483889,52.25201149192578
WY,2022,8823472,16099307,54.806532976854214
WY,2021,15697898,26227364,59.853128968660364
WY,2020,15298091,25699043,59.527862574493525
DC,2023,6000563,11483889,52.25201149192578
DC,2022,8823472,16099307,54.806532976854214
DC,2021,15697898,26227364,59.853128968660364
DC,2020,15298091,25699043,59.527862574493525
